Date,Stock Symbol,Open Price,High Price,Low Price,Close Price,Volume
15/08/2024,MSFT.OQ,237.9723661,239.0281291,237.0755353,238.9827199,7904073
15/08/2024,ORCL.N,275.5148986,276.158766,273.1003957,275.5148986,1515723
15/08/2024,QQQ.OQ,205.8692474,208.392854,205.5708035,208.2172988,10047339
15/08/2024,SPY.N,191.7982211,193.0577103,191.5051544,192.9565325,2366717
15/08/2024,WMT.N,189.908186,191.5031883,187.258424,188.2617319,10175175
16/08/2024,AAPL.OQ,285.3897313,288.9825842,284.9692911,288.001557,14689650
16/08/2024,AMZN.OQ,143.2595183,144.3440818,142.6686739,143.3080808,9565008
16/08/2024,BAC.N,176.1024827,177.9763937,176.0573282,177.6377351,9400789
16/08/2024,GOOGL.OQ,225.392661,230.3046358,224.9182089,227.4021052,8411024
16/08/2024,JNJ.N,120.7439763,121.2595873,119.9553947,120.857714,1875327
16/08/2024,JPM.N,242.4846127,245.2337414,242.4846127,245.096285,2859582
16/08/2024,LLY.N,642.2314376,647.4612114,636.3375656,637.8940459,565896
16/08/2024,MSFT.OQ,239.1586803,239.1586803,236.8825463,237.5296268,6572459
16/08/2024,ORCL.N,275.2332066,277.2654132,274.60946,276.6014249,1607867
16/08/2024,QQQ.OQ,207.4492446,209.0906861,207.0103564,208.4850205,6509038
16/08/2024,SPY.N,192.4506434,193.6263993,192.338999,193.3786881,1093391
16/08/2024,WMT.N,187.5552519,189.8771188,187.116677,189.490141,6302173
19/08/2024,AAPL.OQ,287.2626015,287.8996321,284.1666325,287.7977072,13442925
19/08/2024,AMZN.OQ,143.6642061,144.303613,142.5796425,144.2469567,9490034
19/08/2024,BAC.N,178.2698978,179.4664916,178.1344344,179.127833,9548061
19/08/2024,GOOGL.OQ,230.4162716,232.6071239,229.2720047,232.579215,8276243
19/08/2024,JNJ.N,120.9107916,121.5325579,120.6833162,121.0396944,1341225
19/08/2024,JPM.N,245.130649,246.8832186,245.0962849,246.791581,2291080
19/08/2024,LLY.N,637.8940459,640.5781097,634.3521885,637.6795975,535287
19/08/2024,MSFT.OQ,237.8701955,239.300584,236.3943979,239.2665271,5334027
19/08/2024,ORCL.N,276.7221501,277.5672261,274.5692183,277.5068635,964282
19/08/2024,QQQ.OQ,208.5157427,211.236849,207.7564663,211.2236824,5406388
19/08/2024,SPY.N,193.5444104,195.217333,193.2356436,195.2103552,1070360
19/08/2024,WMT.N,189.3353499,190.8574627,189.2063573,190.1867011,3557054
20/08/2024,AAPL.OQ,287.8104478,289.415765,287.2371202,288.5876252,9142169
20/08/2024,AMZN.OQ,144.0122378,144.8863637,143.6156436,144.7811448,6825919
20/08/2024,BAC.N,176.5540275,177.1861903,173.1674413,174.7026937,9747963
20/08/2024,GOOGL.OQ,232.8862135,235.3282464,232.7885321,233.2908932,5711003
20/08/2024,JNJ.N,121.3202475,121.9799263,121.0700244,121.4415677,1122085
20/08/2024,JPM.N,246.2761194,247.4215897,244.7755532,245.7262936,1990585
20/08/2024,LLY.N,644.7287238,668.7676971,644.7287238,657.159813,627115
20/08/2024,MSFT.OQ,239.5333059,241.7072693,239.3289647,241.1226264,4767618
20/08/2024,ORCL.N,277.6678303,281.229222,277.5772864,280.0219706,1080690
20/08/2024,QQQ.OQ,210.833072,211.9566255,210.0299067,210.7804054,6486767
20/08/2024,SPY.N,195.0777774,195.6673997,194.4462883,194.8928662,881593
20/08/2024,WMT.N,190.2640966,192.8181502,190.2640966,192.3021798,3510375
21/08/2024,AAPL.OQ,288.5621439,290.4604953,286.9313455,288.4474784,10878824
